id_pedido,restaurante,valor,data_pedido
2901682456,Burger King - Drive Anhaia Melo,41.69,2021-02-20
4092352676,Al Cachicken - Frango Frito24 - Pacaembu,54.9,2021-07-09
4073011921,Poppins Burger - O Ultrasmash,60.86,2021-07-02
3054614132,Boteco Do Gois,53.49,2021-04-03
2904644674,Forno Mineiro,27.98,2021-02-21
3108158623,Temakeria E Cia - Higienopolis,177.89,2021-04-19
1048074899,Os Muzzarela,23.8,2019-10-14
3255930003,Sushi Hero,45.9,2021-06-05
3253439795,Come On Burger Express,54.49,2021-06-05
4186925830,Poppins Burger - O Ultrasmash,69.75,2021-08-07
3125275109,Forno Mineiro,42.0,2021-04-24
3032986439,Poppins Burger - O Ultrasmash,62.87,2021-03-28
2821070373,Come On Burger Express,42.0,2021-01-26
4161764237,Toshiro Sushi Perdizes,79.9,2021-07-30
3007810197,Jesus Pizza (candido Espinheira ),67.0,2021-03-21
4025262383,Temakeria E Cia - Higienopolis,185.39,2021-06-18
4032326170,Poppins Burger - O Ultrasmash,55.37,2021-06-20
3169346399,Tollocos,79.9,2021-05-09
3188357884,Lame Lamen - Frei Caneca,77.0,2021-05-15
3210370711,Poppins Burger - O Ultrasmash,41.88,2021-05-23
4139372372,Borger Burger - Mackenzie,69.0,2021-07-24
4115938728,Padaria E Confeitaria Palmeiras,84.53,2021-07-16
2335962783,Sushi Hero - Delivery Comida Japonesa ,23.89,2020-10-03
3101942245,Poppins Burger - O Ultrasmash,58.76,2021-04-18
3245425588,Pao De Alho Do Tio Nico,90.79,2021-06-03
4132142084,Hinode,105.49,2021-07-22
2556374960,Popeyes - Cantareira Norte Shopping,28.99,2020-11-28
294104492,Pizzaria E Esfiharia Amici - Pirituba,44.5,2018-09-16
670429494,P Johs  Pizzaria,50.0,2019-06-02
3057063934,Esfiharia E Pizzaria Boa Brasil,47.49,2021-04-04
4190067956,Al Cachicken - Frango Frito24 - Pacaembu,42.9,2021-08-08
2834095589,Tocco Burger Mooca,65.4,2021-01-30
4098740889,Poppins Burger - O Ultrasmash,60.76,2021-07-11
4119638822,Toshiro Sushi - Santa Cecilia,87.86,2021-07-17
